Title,View
"
      Unread messages counter is not shown in a chat opened from the search result.
    ", Note: You need to have at least 1 unread chat.  Steps to reproduce 1. Search for any message of an unread chat in the search bar at the top right 2. Tap to open the message Current result The unread…
"
      iOS: share pdfs from safari results in files sent twice
    ","When sending PDFs from safari files are received twice Steps to reproduce Open PDF in Safari Share as PDF Select recipient Send Device info Telegram iOS 8.3.1 (22536), iPhone 11 Pro, 15.1"
"
      wrong citation icon in group chat
    ","I'm at the bottom of the group chat but I still have the icon reporting a citation. The icon never disappear, even closing browser or restarting my PC. Steps to reproduce You can't reproduce it... Device…"
"
      [Forwarding Options] Incorrect string is used in the preview when forwarding a music file
    ","Steps to reproduce Note: When you forward a music file you automatically become the sender of that file, therefore nobody will see that it was forwarded. 1. Long press a music file > Forward > Choose…"
"
      the @ notification isn't going away
    ","In some chats, the @ notification is not going away even after clicking on it. It doesn't take you anywhere and just sits there Steps to reproduce I don't know how to reproduce the issue Device info Telegram…"
"
      Please remove limit for maximum number of admins for public channels or at least increase it from 50 to 100.
    ",Please increase number of admins for public channels from 50 to 100. I have a free public channel for posting of job vacancies where HRs directly post job vacancies in their organisations. Due to limit…
"
      videos not loading
    ","when i enter in a group with a video, it keeps loading but it doesn't open Steps to reproduce 1 enter in a group 2 try to load a video 3 fail Device info the videos are not loading anymore, i have to…"
"
      Messages pinned before the upgrade to supergroup aren't shown in the pinned list
    ","If you have a basic group chat that already has Pinned Messages, then you upgrade the basic group chat to a supergroup, they won't be shown anymore as pinned. Steps to reproduce 1. Create a New Group…"
"
      Group description is lost when you upgrade a basic group to supergroup
    ",Steps to reproduce 1. Create a New Group 2. Change the description of the group 3. Upgrade the group to a supergroup For example by changing the 'Chat history for new users' to visible. Current result…
"
      Webk update notification cannot be marked read
    ","Notifications about webk updates in the Telegram service notification chat cannot be marked read or dismissed, and will mark themselves unread again next time the app is loaded Steps to reproduce 1. Open…"
"
      Pinned list preview doesn't show messages pinned before upgrade to supergroup
    ","If you have a basic group chat that already has Pinned Messages, then you upgrade the basic group chat to a supergroup, they won't be shown in the preview of the pinned list. Steps to reproduce Note:…"
"
      Incorrect chat channel selection UI if channel gets banned
    ","Steps to reproduce 1. Chat as a channel inside a group. 2. Admin bans one of your channels. 3. Send another message, it will fail. 4. Reopen chat. There is no account selection anymore. 5. Send another…"
"
      Emoji completion changes already completed emoji
    ","When I try to write x directly after a complete emoji, the previously completed emoji gets transformed into a wilting rose emoji. For example typing: ""Or... we could just accept that it's all blue :wink<enter>""…"
"
      Basic group is still shown in the share sheet when the group is upgraded to supergroup 
    ",Note You can find the prerequisites for share sheet to correctly work here: Can't see chat suggestions in the iOS Share Sheet? Steps to reproduce. 1. Create a New Group 2. Send some individual messages…
"
      [iOS 14+] Basic group is still shown in widgets when the group is upgraded to supergroup
    ","Same issue on Android Steps to reproduce 1. Add a wiget > Choose to add a basic group to the widget Current result When the basic group is updated, the widget keeps showing the basic group. Expected result…"
"
      [Android] Basic group is still shown in widgets when the group is upgraded to supergroup
    ","Same issue on iOS Steps to reproduce 1. Add a wiget > Choose to add a basic group to the widget Current result When the basic group is updated, the widget keeps showing the basic group. Expected result…"
"
      UI glitch when upgrading the group to supergroup by enabling slow mode and there are some permissions toggled off
    ",Steps to reproduce 1. Create a New Group > Tap on the name of the group to open the page with information > Tap on Edit > Tap on permission 2. Turn of some permissions and close the permission section…
